id,figure_or_myth,category,origin_culture,priority,hook
191,jatayu's last flight,hindu,hindu,10,"The aged vulture-king Jatayu spots Ravana's aerial chariot with a screaming Sita and gives battle, tearing off Ravana's heads and arms — each of which regrows instantly. Ravana finally severs both of Jatayu's wings with a single sword stroke. The mortally wounded bird survives just long enough in the forest to tell the searching Rama which direction Ravana flew. (Valmiki Ramayana, Aranya Kanda.)"
192,hanuman carries dronagiri mountain,hindu,hindu,10,"Lakshmana lies near death after Indrajit's weapon strikes him; only the Sanjeevani herb on Mount Dronagiri can revive him before dawn. Hanuman flies to the Himalayas but cannot identify the herb, so he wrenches the entire mountain from the earth and carries it south in his palm — Lakshmana is healed with minutes to spare. (Valmiki Ramayana, Yuddha Kanda; mountain identified with Dronagiri range in Uttarakhand.)"
193,vibhishana's defection,hindu,hindu,10,"Ravana's own younger brother Vibhishana pleads three times for Sita's return and is expelled from Lanka. He crosses to Rama's shore, surrenders, and is accepted against the army's suspicion. In the final battle, it is Vibhishana who reveals to Rama that Ravana's immortality nectar is stored in his navel — the secret that allows Rama to kill him. (Valmiki Ramayana, Yuddha Kanda.)"
194,ahalya restored by rama,hindu,hindu,10,"The sage Gautama cursed his wife Ahalya to be invisible to all living beings, subsisting on air and sleeping in ashes, after Indra seduced her in Gautama's form. Vishvamitra leads the young Rama to the hermitage; when Rama's foot touches the stone where she lies, Ahalya rises as a radiant woman — and Gautama, arriving through his divine sight, accepts her back. (Valmiki Ramayana, Bala Kanda, Sarga 49; confirmed at wisdomlib.org.)"
195,rama breaks shiva's bow,hindu,hindu,10,"King Janaka's swayamvara challenge: any prince who can string the massive Pinaka bow of Shiva wins Sita's hand. The bow requires 300 men on eight-wheeled carts just to carry it; kings and heroes fail even to lift it. Rama not only strings it — he pulls it so hard the bow snaps in two with a crack that shakes the earth. (Valmiki Ramayana, Bala Kanda.)"
196,draupadi's disrobing,hindu,hindu,10,"After Yudhishthira gambles away his kingdom and then his wife, Dushasana hauls Draupadi into the Kaurava court by her hair and begins tearing off her sari. She prays to Krishna; as Dushasana pulls, the cloth simply keeps unspooling — yards pile at his feet until he collapses in exhaustion and Draupadi stands still dressed. (Mahabharata, Sabha Parva; the miracle's attribution to Krishna is a later addition per the Critical Edition.)"
197,karna gives away kavach and kundal,hindu,hindu,10,"Karna was born wearing divine armor (kavach) fused to his skin and golden earrings (kundal) — together rendering him nearly unkillable. Indra, father of Arjuna, disguises himself as a brahmin beggar and asks Karna for them as alms. Though Surya warned him in a dream, Karna cuts the armor from his own flesh and hands it over — because to refuse a brahmin's request was against his vow. (Mahabharata, Vana Parva / Adi Parva.)"
198,ekalavya's thumb,hindu,hindu,10,"The Nishada prince Ekalavya, refused as a student by Drona because of his caste, sculpts a clay statue of the teacher in the forest and trains alone before it until he surpasses every royal student. When Drona discovers him, he demands guru dakshina — Ekalavya's right thumb. Without hesitation, Ekalavya cuts it off and places it in his teacher's palm. (Mahabharata, Adi Parva.)"
199,abhimanyu in the chakravyuha,hindu,hindu,10,"Sixteen-year-old Abhimanyu learned only how to enter Drona's deadly chakravyuha spiral formation — his mother fell asleep before Arjuna could explain the exit. Alone inside the spinning wall of warriors, Abhimanyu fights brilliantly but is surrounded by six senior Kaurava commanders who strip him of weapons and chariot and kill him in violation of every rule of war. (Mahabharata, Drona Parva, Day 13.)"
200,bhishma's oath of celibacy,hindu,hindu,10,"Prince Devavrata's father Shantanu falls in love with the fisherwoman Satyavati, whose father demands her sons inherit the throne. Devavrata, already crown prince, renounces the throne — then, when the father still worries about his grandchildren, takes a second, terrible vow of lifelong celibacy. The gods shower flowers and name him Bhishma, 'the one of the terrible oath.' His father grants him icha-mrityu: the power to choose his own moment of death. (Mahabharata, Adi Parva.)"
201,karna and kunti's meeting,hindu,hindu,10,"On the eve of the Kurukshetra war, Kunti approaches Karna at the Ganges and reveals that he is her firstborn son — the eldest Pandava, abandoned at birth. Karna listens in full, refuses to switch sides to protect his friend Duryodhana, but makes one promise: he will spare every Pandava except Arjuna. At war's end, Kunti will still have five sons — the fifth will be either Arjuna or Karna. (Mahabharata, Udyoga Parva.)"
202,drona's death and yudhishthira's half-lie,hindu,hindu,10,"To stop the invincible Drona, Bhima kills an elephant named Ashwatthama and proclaims the name aloud. Drona, knowing only Yudhishthira never lies, asks him directly. Yudhishthira says 'Ashwatthama is dead' — then murmurs 'the elephant' so softly that the conches drown it out. Drona, believing his son killed, lowers his weapons and sits in meditation; Dhrishtadyumna beheads him. (Mahabharata, Drona Parva.)"
203,bhishma on the bed of arrows,hindu,hindu,10,"On the tenth day of Kurukshetra, Arjuna shoots Bhishma through with so many arrows he cannot fall to the ground — he lies suspended on a quilt of arrow-shafts. Invoking his boon of icha-mrityu (death at his own choosing), Bhishma refuses to die until the auspicious Uttarayana sun. He lies on that arrow-bed for fifty-eight days, delivering the vast teachings of the Shanti Parva to Yudhishthira, then departs when he chooses. (Mahabharata, Bhishma Parva and Shanti Parva.)"
204,yudhishthira's dog at heaven's gate,hindu,hindu,10,"After the Kurukshetra war, the Pandavas and Draupadi renounce the world and climb Mount Meru toward heaven. One by one they fall and die — only Yudhishthira and a stray dog complete the climb. When Indra's chariot arrives, Yudhishthira refuses to board unless the dog can come too. The dog sheds its form and reveals itself as Dharma, the god of righteousness, who had been testing his son all along. (Mahabharata, Mahaprasthanika Parva.)"
205,savitri outwits yama,hindu,hindu,10,"Savitri watches Yama lasso her husband Satyavan's soul in the forest and follows the god of death, matching him homily for homily until he grants three boons just to make her turn back. She chooses boons carefully — her father-in-law's eyesight, his kingdom, sons for her own father — then clinches the fourth: sons for herself and Satyavan, which is impossible unless Satyavan lives. Yama laughs and hands the soul back. (Mahabharata, Vana Parva.)"
206,shikhandi and the fall of bhishma,hindu,hindu,10,"Princess Amba, abducted by Bhishma and then rejected by her lover, burns herself alive after twelve years of failed vengeance — vowing rebirth as Bhishma's killer. She is reborn as Shikhandi, who exchanges sexes with a yaksha to live as a man. On day ten of Kurukshetra, Arjuna rides behind Shikhandi into Bhishma's face; honoring his vow never to fight a woman or former woman, Bhishma lowers his bow — and Arjuna's arrows pin him to the ground. (Mahabharata, Udyoga and Bhishma Parvas.)"
207,vamana and the three strides,hindu,hindu,10,"The demon king Bali has conquered the three worlds through genuine virtue and generosity. Vishnu incarnates as Vamana, a tiny brahmin boy, and asks Bali for just three paces of land. Bali's guru Shukracharya warns this is a trap — Bali grants the gift anyway. Vamana expands to cosmic size: one stride covers the earth, the second the sky, and for the third Bali offers his own head. Vishnu steps on it and sends Bali to the underworld, then grants him lordship there as a reward for his integrity. (Bhagavata Purana, Book 8; Vamana Purana.)"
208,garuda steals the amrita,hindu,hindu,10,"Garuda's mother Vinata was enslaved by her co-wife Kadru after losing a bet; the serpent children name the price for freedom: steal the amrita, the nectar of immortality, from the gods. Garuda defeats Indra and the entire divine army, bypasses a wall of fire, a spinning blade-wheel, and two venomous guardian serpents, seizes the jar of nectar, and sets it on kusha grass for the serpents — then Indra swoops back and reclaims it before a single snake drinks. Vinata goes free. (Mahabharata, Adi Parva, Astika Parva.)"
209,markandeya defeats death,hindu,hindu,10,"The boy Markandeya is fated to die at sixteen; on that very day he clings to a Shiva-linga in worship. Yama himself rides his black buffalo to collect the soul, throws his noose — and it loops around both the boy and the linga. Shiva erupts from the stone, kicks Yama dead, and decrees that Markandeya shall remain sixteen forever. The gods beg Shiva to revive Yama; he does, on condition the boy is never touched again. (Shiva Purana, Kotirudra Samhita; also referenced in Bhagavata Purana.)"
210,arjuna's dilemma at kurukshetra,hindu,hindu,10,"With two armies poised and conches blown, Arjuna asks Krishna to drive his chariot between the lines — then sees his grandsire Bhishma, his teacher Drona, and cousins and uncles on the opposing side. His bow slips from his hands, his body shakes, and he tells Krishna he will not fight. Krishna's response, delivered on the chariot between the armies, becomes the Bhagavad Gita — the 700-verse discourse on duty, the soul, and action without attachment. (Mahabharata, Bhishma Parva, Bhagavad Gita Chapter 1.)"
211,shakuni's rigged dice game,hindu,hindu,10,"Shakuni, uncle of Duryodhana, plays dice against Yudhishthira using loaded dice carved from his own father's bones — which obey his commands. In a single session Yudhishthira loses Indraprastha, his treasury, his army, his brothers, himself, and finally Draupadi. The game restarts when Dhritarashtra reverses it; Shakuni proposes one final round — loser spends twelve years in forest exile and one year in secret hiding. The Pandavas lose again. (Mahabharata, Sabha Parva.)"
212,izanagi and izanami stir the ocean,japanese,japanese,10,"Standing on the Floating Bridge of Heaven, Izanagi and Izanami plunged the Jeweled Spear of Heaven into the primordial ocean and stirred; when they withdrew it, brine dripped from the tip and crystallized into the first island, Onogoro-shima. The two gods descended to that island, set up the heavenly pillar, and began to create the Japanese archipelago."
213,izanagi and izanami circle the heavenly pillar,japanese,japanese,10,"Izanagi and Izanami circled the ame-no-mihashira pillar in opposite directions for their sacred marriage rite; Izanami spoke first when they met, violating divine protocol, and their firstborn Hiruko was born boneless and deformed. They repeated the ceremony with Izanagi speaking first and went on to create the eight islands of Japan."
214,kagutsuchi birth and izanami's death,japanese,japanese,10,"When Izanami gave birth to the fire god Kagutsuchi, his fierce heat burned her fatally, and she descended into the underworld Yomi. In grief and fury, Izanagi seized his sword Ame-no-o-habari-no-kami and cut Kagutsuchi into pieces, from whose blood and body parts sixteen new deities were born, including the thunder god Takemikazuchi and the rain dragon Kuraokami."
215,izanagi's misogi purification,japanese,japanese,10,"After fleeing Yomi and sealing it with a great boulder, Izanagi bathed in the river at Ahaji to purify his pollution from the land of the dead; washing his left eye birthed the sun goddess Amaterasu, his right eye produced the moon god Tsukuyomi, and blowing his nose created the storm god Susanoo. This ritual founded the Shinto practice of harai purification and installed the three noble children who would rule heaven, night, and sea."
216,susanoo's weeping and exile from takamagahara,japanese,japanese,10,"Appointed to rule the seas, Susanoo instead wept incessantly for his dead mother Izanami, his grief causing mountains to shudder and rivers to dry up, until Izanagi expelled him from the heavenly realm. Susanoo then ascended to Takamagahara to bid farewell to his sister Amaterasu, and his turbulent arrival triggered a chain of conflicts that drove the sun goddess into hiding."
217,amaterasu and susanoo ukehi oath contest,japanese,japanese,10,"To prove his peaceful intentions in Takamagahara, Susanoo proposed an ukehi oath contest: Amaterasu chewed his ten-span sword and breathed out three goddesses, while Susanoo chewed her 500-jewel magatama necklace and breathed out five male deities. Both claimed victory and the eight children became ancestors of the Japanese nobility, but Susanoo's subsequent rampage—flaying a divine horse and hurling it into Amaterasu's weaving hall—led to his final exile."
218,susanoo discovers kusanagi in yamata no orochi's tail,japanese,japanese,10,"After slaying the eight-headed serpent Yamata no Orochi with sake-filled vats in Izumo province, Susanoo hacked through the tails and discovered a gleaming sword embedded in the fourth tail—the blade later named Ame-no-Murakumo-no-Tsurugi (Gathering Clouds of Heaven). Recognizing it as too sacred to keep, he sent the sword as a gift to Amaterasu, and it became part of Japan's three imperial treasures."
219,ame-no-uzume's dance before the cave,japanese,japanese,10,"When Amaterasu sealed herself in Ama-no-Iwato and plunged the world into darkness, the dawn goddess Ame-no-Uzume performed an ecstatic, partially nude dance on an overturned barrel before the cave entrance, making eight million kami erupt in laughter. Curious why the gods were laughing in her absence, Amaterasu cracked open the boulder door and was dazzled by her own reflection in the Yata mirror hung opposite—allowing the gods to seize her and restore sunlight."
220,ninigi's descent from heaven (tenson korin),japanese,japanese,10,"Amaterasu dispatched her grandson Ninigi-no-Mikoto to rule the earth, loading him with three divine gifts—the Yata mirror, the Yasakani magatama jewel, and the Kusanagi sword—before he descended through clouds onto the peak of Mount Takachiho in southern Kyushu. His landing established the divine ancestry of the Japanese imperial line."
221,ninigi and konohanasakuya-hime marriage,japanese,japanese,10,"Ninigi fell in love with Konohanasakuya-hime on the seashore and asked for her hand, but her father Ohoyamatsumi also offered her older sister Iwanaga-hime; Ninigi accepted only the beautiful Konohanasakuya-hime, and by refusing the elder sister he forfeited immortality for all future emperors. When he doubted the divine parentage of their child, Konohanasakuya-hime sealed herself in a doorless hut and set it ablaze, proving her fidelity by giving birth unharmed to three sons inside the fire."
222,konohanasakuya-hime fire birth,japanese,japanese,10,"Accused by Ninigi of carrying another man's children, Konohanasakuya-hime built a windowless parturition hut, set its thatched walls alight, and declared that the fire would spare her children if they were truly divine. She emerged unscathed with three sons—Hoderi, Hosuseri, and Hoori—proving her fidelity and becoming the guardian kami of Mount Fuji and childbirth."
223,hoderi and hoori exchange fishing tools,japanese,japanese,10,"Brothers Hoderi (sea-luck) and Hoori (mountain-luck), sons of Ninigi, swapped their divine tools—Hoori took Hoderi's magic fish hook and Hoderi took Hoori's infallible bow—but Hoori lost the hook in the sea and could not replace it despite forging five hundred substitutes. Hoderi's furious refusal to accept any replacement sent Hoori weeping to the beach, beginning his underwater adventure."
224,hoori at the sea palace of watatsumi,japanese,japanese,10,"On a kami's advice, the distraught Hoori built a small boat and drifted down to Watatsumi's underwater palace, where he met and married the sea god's daughter Toyotama-hime; he lived there for three years before remembering his original errand. Watatsumi found the lost fishhook lodged in a sea bream's mouth, cursed it, and gave Hoori two tide jewels—one to flood, one to ebb—with which to subdue his hostile brother Hoderi."
225,toyotama-hime gives birth on the beach,japanese,japanese,10,"Toyotama-hime came ashore with her sister to give birth in a thatched hut and warned Hoori never to look upon her during delivery; he disobeyed and glimpsed her true form—an enormous eight-league wani sea-dragon writhing on the sand. Shamed by his gaze, she abandoned her newborn son on the shore and retreated permanently to the sea, leaving only her sister to raise the child who would become ancestor of the imperial line."
226,okuninushi and the white hare of inaba,japanese,japanese,10,"A white hare had tricked a line of wani (sea crocodiles) into forming a bridge from the Oki Islands to Inaba by challenging them to a counting contest, but the last wani tore off its fur in revenge; Okuninushi's cruel brothers told the skinless hare to bathe in salt water, worsening its agony. Okuninushi alone told the hare to wash in fresh water and roll in bulrush pollen to regrow its coat, and the grateful hare prophesied that he, not his brothers, would win the princess of Inaba."
227,okuninushi's trials in yomi with susanoo,japanese,japanese,10,"Seeking Susanoo's counsel in the underworld, Okuninushi married the storm god's daughter Suseri-hime without permission and was forced to sleep in a room full of snakes and centipedes as punishment—saved each time by his wife's protective scarf. While Susanoo slept, Okuninushi tied the god's hair to the rafters, stole his sword and bow, and fled to the surface world, where Susanoo shouted after him to use those weapons to defeat his 80 brothers and rule the land."
228,okuninushi cedes the land (kuni-yuzuri),japanese,japanese,10,"Amaterasu sent the thunder god Takemikazuchi down to the beach at Inasa-no-Hama in Izumo demanding that Okuninushi surrender the earthly realm; after his son Takeminakata challenged and lost a test of strength, Okuninushi agreed to yield the land of Ashihara no Nakatsukuni to the heavenly kami. In exchange he asked for a grand palace to be built—which became the Izumo Taisha shrine—and withdrew forever into the invisible world."
229,kusanagi sword gifted to amaterasu,japanese,japanese,10,"After drawing the blade Ame-no-Murakumo-no-Tsurugi from the fourth tail of the slain Yamata no Orochi, Susanoo recognized it as too sacred and powerful for himself and presented it as a peace offering to his sister Amaterasu in Takamagahara. The sword was later given to Ninigi for his earthly descent, renamed Kusanagi-no-Tsurugi, and today rests enshrined at Atsuta Shrine in Nagoya as one of Japan's three imperial regalia."
230,yamato takeru disguised as a woman,japanese,japanese,10,"Sent to subdue the unruly Kumaso warriors of Kyushu, Prince Yamato Takeru dressed himself as a woman and infiltrated their banquet feast; when the two Kumaso brothers were deep in drink, he drew a blade and slew them both. The dying elder brother bestowed on the young prince the warrior name Yamato Takeru—'brave one of Yamato'—in tribute to his cunning."
231,yamato takeru and kusanagi at the burning grassland,japanese,japanese,10,"Lured into open grassland by an enemy who set fire to the grass all around him, Yamato Takeru drew the Kusanagi sword and cut down the burning brush, then used his fire-striker to light a counter-fire that swept back into the enemy's ranks. The miraculous escape gave the sword its famous alternative name Kusanagi, 'Grass-Cutter,' and secured Yamato Takeru's legend as Japan's greatest hero."
232,kaguya-hime discovered in bamboo,japanese,japanese,10,"A bamboo cutter named Taketori no Okina noticed a single stalk of bamboo glowing with golden light; splitting it open, he found inside a thumb-sized infant girl whom he named Kaguya-hime (Princess Radiant Night). After that discovery, every bamboo he cut yielded gold, and the child grew in three months into an incomparably beautiful young woman, attracting suitors from across the land."
233,kaguya-hime's five impossible tasks,japanese,japanese,10,"Kaguya-hime deflected five noble suitors by demanding impossible objects: the stone begging bowl of the Buddha from India, a jeweled branch from the mythical island of Hōrai, the fire-rat robe of China, a colored jewel from a dragon's neck, and a cowry shell born from swallows. Each suitor failed or tried to deceive her with a forgery, and each deception was exposed, leaving her free to await her inevitable return to the moon."
234,kaguya-hime returns to the moon,japanese,japanese,10,"On the night of the full moon in autumn, a luminous celestial procession descended from the heavens to reclaim Kaguya-hime for the Moon Kingdom; she left a letter and the elixir of immortality for the heartbroken emperor, who ordered both burned on the peak of Mount Fuji because immortal life without her was worthless. The smoke from that fire is said to drift up from Mount Fuji to this day."
235,urashima taro and the sea palace,japanese,japanese,10,"The fisherman Urashima Tarō rescued a sea turtle being tormented by children and was rewarded with a journey to the Dragon Palace Ryūgū-jō, where he married the princess Otohime and feasted for what seemed like days; returning home, he discovered four hundred years had passed. Opening the forbidden tamatebako jewel box Otohime had given him, a white cloud of age escaped and he shriveled into dust."
236,tamamo-no-mae the nine-tailed fox,japanese,japanese,10,"A woman of extraordinary beauty named Tamamo-no-Mae enchanted the court of Emperor Toba and caused him to waste away with mysterious illness; the onmyōji Abe no Yasunari performed divination and revealed her as a nine-tailed fox kitsune sapping the emperor's life-force. Driven out and hunted onto the plains of Nasu, she was slain and her body transformed into the Sesshō-seki killing stone, which poisoned every living thing that touched it for centuries."
237,the three sacred imperial treasures,japanese,japanese,10,"Before Ninigi descended to earth, Amaterasu entrusted him with three divine objects that embodied the virtues of his rule: the Yata no Kagami mirror (purity and wisdom), the Yasakani no Magatama jewel (benevolence, formerly used in the ukehi contest), and the Kusanagi no Tsurugi sword (valor, retrieved from the Orochi's tail). Together as the sanshu no jingi, these regalia remain the symbolic foundation of Japanese imperial legitimacy."
238,izanami gives birth to the japanese islands (kuni-umi),japanese,japanese,10,"After their corrected marriage ceremony on Onogoro-shima, Izanagi and Izanami gave birth to the eight great islands of the Japanese archipelago—Awaji, Shikoku, Kyushu, Oki, Iki, Tsushima, Sado, and Honshu—each island emerging as a living kami child. They then created some thirty-five more deities, including the gods of wind, sea, mountains, fire, and food, before Kagutsuchi's fatal birth ended the creative union."
239,susanoo's flayed horse thrown into amaterasu's weaving hall,japanese,japanese,10,"Emboldened after winning the ukehi oath contest, Susanoo rampaged through Takamagahara—uprooting rice paddies and filling in irrigation ditches—before flaying a divine horse and hurling its bleeding carcass through the roof of the sacred hall where Amaterasu and her handmaidens were weaving. One weaver was so shocked she struck herself with her shuttle and died, driving the sun goddess into Ama-no-Iwato cave and plunging the world into darkness."
240,izanagi's flight from yomi and the boulder seal,japanese,japanese,10,"When the rotting, thunder-wreathed corpse of Izanami and her horde of underworld shikome pursued Izanagi out of Yomi, he fled hurling a magical peach at his pursuers and finally heaved the great boulder Chigaeshi-no-Okami across the entrance to the underworld, sealing it forever. Standing on opposite sides of the rock, the estranged couple exchanged their final words—Izanami threatening to kill a thousand people each day, Izanagi vowing to build fifteen hundred birth huts in reply—establishing the rhythm of death and birth in the world."
241,anzu steals the tablet of destinies,mesopotamian,mesopotamian,10,"The monstrous lion-headed eagle Anzu seizes the Tablet of Destinies from Enlil while the god bathes, gripping the divine source of all authority in its talons and flying to its mountain lair — the turning moment when cosmic order itself is in a bird's claws."
242,ninurta defeats anzu and recovers the tablet of destinies,mesopotamian,mesopotamian,10,"The warrior god Ninurta pursues Anzu to the mountain of Sabu; his arrows are blown back by Anzu's breath until the divine advisor Ea counsels him to feather his arrows with the bird's own cut feathers, after which Ninurta splits Anzu's wing and reclaims the Tablet of Destinies."
243,etana's eagle flight to heaven,mesopotamian,mesopotamian,10,"The childless king Etana mounts the back of a rescued eagle — the same bird he nursed from Shamash's pit — and the two spiral upward toward the heaven of Anu, seeking the plant of birth; Etana looks down and sees the sea shrink to a river, the river to a ditch, until earth itself becomes a dot and he panics and plummets."
244,adapa breaks the south wind's wing,mesopotamian,mesopotamian,10,"The sage Adapa, fishing on the Persian Gulf, is capsized by the South Wind; he curses and breaks the wind's wing with a single word, silencing it for seven days — which summons him before Anu in heaven to answer for the offense."
245,adapa refuses the food of immortality,mesopotamian,mesopotamian,10,"Standing before Anu, Adapa is offered the bread and water of eternal life — but Ea had warned him they would be bread and water of death. Adapa refuses, and Anu laughs: the sage who could have become immortal has been tricked out of it by the very god who created him."
246,enki and ninhursag in dilmun,mesopotamian,mesopotamian,10,"In the pure land of Dilmun, Enki waters the earth and impregnates Ninhursag; when he then eats eight plants she has grown without her permission, she curses him with eight matching ailments — one for each plant — until the fox fetches her back and she heals each disease by birthing a new deity from the afflicted limb."
247,enki and inanna — the transfer of the me,mesopotamian,mesopotamian,10,"Inanna sails to Eridu, drinks beer with Enki, and when he is drunk he gives away the me — over a hundred divine powers including kingship, descent to the underworld, and the art of lovemaking. Sober, Enki sends sea-monsters to reclaim them, but Inanna's boat docks safely at Uruk, the me transferred for good."
248,dumuzi's dream,mesopotamian,mesopotamian,10,"The shepherd god Dumuzi dreams of reeds toppling, a falcon circling, and his churn lying on its side — signs his sister Geshtinanna reads as portents of his death. Before dawn, the galla demons of the underworld arrive to drag him away as Inanna's substitute, and he flees in vain across the steppe."
249,geshtinanna searches for dumuzi,mesopotamian,mesopotamian,10,"Geshtinanna, the divine vintner and sister of Dumuzi, roams the desert weeping and refuses to betray her brother's hiding place to the galla demons even under threat; she eventually finds him and offers to take half his time in the underworld, so the two alternate seasons — the mythic origin of summer and winter."
250,nergal's descent to the underworld,mesopotamian,mesopotamian,10,"Summoned to the underworld for refusing to rise for Ereshkigal's messenger, Nergal descends the seven gates, overturns Ereshkigal's throne, and seizes her by the hair — then is disarmed when she weeps and offers to share her kingdom; he lifts her chin and they kiss, making him king of the dead."
251,the flood of atrahasis,mesopotamian,mesopotamian,10,"After the gods send plague and famine in sequence to reduce human noise and overpopulation, Enlil decrees the Flood; Enki whispers instructions through a reed wall to the pious Atrahasis — build a boat, load all living creatures — and Atrahasis seals himself inside while the flood obliterates humankind for seven days and seven nights."
252,enki creates humans from clay and divine blood in atrahasis,mesopotamian,mesopotamian,10,"After the lesser gods' rebellion against hard labor, Enki and Ninmah mix clay with the flesh and blood of the slain rebel god We-ilu; they pinch off fourteen pieces and place seven in wombs, birthing the first humans to bear the gods' toil — mortal, noisy, and bound by fate."
253,utnapishtim's flood and the raven that did not return,mesopotamian,mesopotamian,10,"On the seventh day after the flood recedes, Utnapishtim releases a dove — it returns; then a swallow — it returns; then a raven, which finds dry land and does not come back. He opens the hatch, pours libations, and Enlil, furious at the survivors, is placated by Ea and grants Utnapishtim and his wife immortality at the mouth of the rivers."
254,ninurta and the asag demon — lugal-e,mesopotamian,mesopotamian,10,"The warrior Ninurta marches against the stone-demon Asag, whose very disease-breath kills fish in the river; Ninurta smashes Asag's army of stone-children, piles the conquered rocks into the Zagros mountains as a dam, and channels the highland waters south — explaining why rivers flow downhill toward Sumer."
255,enlil rapes ninlil and is banished to the underworld,mesopotamian,mesopotamian,10,"Enlil forces himself on the young Ninlil on the river bank despite her warning; the assembly of gods banishes him to the underworld as a 'polluted one.' Ninlil follows him, and Enlil — disguised three times as a gatekeeper, a ferryman, and a guardian — fathers three underworld gods to substitute for Nanna/Sin, who travels safely to heaven."
256,inanna and the huluppu tree,mesopotamian,mesopotamian,10,"Inanna plants a huluppu tree on the Euphrates bank, tending it for ten years to make a throne and bed. But a snake nests at the roots, the Anzu bird broods in the branches, and the dark maid Lilith builds her house in the trunk. Inanna weeps until Gilgamesh wades in, kills the snake, drives off the others, and fashions the wood into a pukku drum for her."
257,gilgamesh and humbaba in the cedar forest,mesopotamian,mesopotamian,10,"Gilgamesh and Enkidu trek to the Cedar Forest guarded by the monstrous Humbaba, whose roar is the storm and whose breath is fire. Humbaba begs for mercy but Enkidu urges the kill; Gilgamesh strikes, Humbaba curses them with his dying voice, and they fell the tallest cedar — setting in motion the divine punishment that will claim Enkidu's life."
258,gilgamesh and the bull of heaven,mesopotamian,mesopotamian,10,"After Gilgamesh spurns Ishtar's love, she demands her father Anu release the Bull of Heaven against Uruk; three snorts from the bull open pits that swallow hundreds of men. Enkidu grabs the bull's horns while Gilgamesh drives his sword between the horns and neck — then hurls the bull's haunch into Ishtar's face as she wails from the walls."
259,the death of enkidu,mesopotamian,mesopotamian,10,"After the killing of Humbaba and the Bull of Heaven, the gods decree one of the two must die; Enkidu sickens, curses the prostitute Shamhat and the cedar door they cut in the forest, then relents when Shamash tells him the gifts she brought. He dies after twelve days of illness while Gilgamesh watches, setting him on the quest for immortality."
260,the exaltation of inanna by enheduanna,mesopotamian,mesopotamian,10,"The high priestess Enheduanna, daughter of Sargon of Akkad, is driven from her temple by a usurper; she composes the Hymn to Inanna, the oldest attributed poem in history, calling the goddess to restore her. Inanna hears, the usurper is overthrown, and Enheduanna walks again in the moonlight of the Ekishnugal — the turning moment is prayer as political act."
261,ishtar's descent — akkadian version,mesopotamian,mesopotamian,10,"In the Akkadian version, when Ishtar descends to the Great Below, all sexual desire on earth halts — bulls refuse cows, men ignore women — until the gods panic and send Asushunamir the eunuch-demon to trick Ereshkigal into releasing the water of life; Ishtar is sprinkled and rises, but Tammuz is left behind as her substitute."
262,marduk slays kingu and creates humans — enuma elish,mesopotamian,mesopotamian,10,"After defeating Tiamat, Marduk turns to her general Kingu, who bore the Tablet of Destinies on his chest; Marduk cuts Kingu's arteries and from his blood, mixed with clay, Ea fashions humankind — created from a traitor's body, born to serve, to bear the labor the gods abandoned."
263,tiamat assembles her monster army — enuma elish,mesopotamian,mesopotamian,10,"Grieving for Apsu and goaded by Kingu, Tiamat gives birth to eleven monsters — serpents, dragons, the hairy hero, the rabid dog — and fastens the Tablet of Destinies onto Kingu's chest, making him commander; the younger gods freeze in terror until Marduk alone volunteers to face her."
264,odin hangs on yggdrasil,norse,norse,10,"Odin pierces himself with his own spear, hangs from the World Tree Yggdrasil for nine days and nights without food or water, and at last the runes reveal themselves to him from the depths below — a self-sacrifice to himself to win the secret of written language."
265,mead of poetry — kvasir and gunnlöð,norse,norse,10,"Odin, disguised as a farmhand named Bölverk, seduces the giantess Gunnlöð who guards the three cauldrons of the Mead of Poetry; he drinks all three in three draughts, transforms into an eagle, and races back to Asgard with the mead of divine inspiration in his crop."
266,loki cuts sif's hair — forging of mjölnir,norse,norse,10,"Loki shears off Sif's golden hair as a prank; to save his life from Thor's fury, he wagers his own head with the dwarf Brokkr and his brother Sindri, who forge Mjölnir — but Loki, disguised as a gadfly, stings Brokkr's eyelid mid-forge, leaving the hammer's handle slightly too short."
267,thor fishes for jörmungandr with hymir,norse,norse,10,"Thor rows out beyond all known fishing grounds with the giant Hymir, baits his hook with an ox-head, and hauls the World Serpent Jörmungandr up through the churning sea — but the terrified Hymir cuts the line at the last moment, and the serpent plunges back into the deep."
268,freyr gives up his sword for gerðr,norse,norse,10,"Freyr spies the giantess Gerðr from Odin's high seat and is struck by such longing that he sends his servant Skírnir with his self-fighting sword to win her — surrendering the only blade that could have saved him at Ragnarök, when he faces the fire giant Surtr unarmed."
269,idunn kidnapped by thjazi,norse,norse,10,"Loki lures the goddess Idunn and her casket of immortality-granting apples into a forest where the giant Thjazi, disguised as an eagle, snatches her away to Jötunheim; the gods rapidly age and grey until they force Loki to rescue her — he turns her into a nut, flies her home as a falcon, and the Aesir burn Thjazi in a pyre."
270,skadi chooses her husband by his feet,norse,norse,10,"To compensate the giantess Skadi for her father Thjazi's death, the Aesir let her choose a husband — but only by viewing feet from behind a curtain; she picks the most elegant pair, expecting Baldr, and finds herself wed to the sea god Njörð instead."
